epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1425.1,1.02007,1.00233,1.13671,0.64747,0.50675,0.55286,0.39268,1.08112,1.15202,1.13806,0.00333136,0.00333136,0.00333136
2,2922.42,1.10214,1.2087,1.1831,0.5581,0.44963,0.46596,0.31887,1.18178,1.34571,1.20739,0.00653273,0.00653273,0.00653273
3,4478.23,1.24015,1.53604,1.27777,0.51279,0.36418,0.37346,0.24608,1.29763,1.58776,1.30977,0.00960211,0.00960211,0.00960211
4,6031.27,1.28245,1.64603,1.31263,0.58371,0.41856,0.45338,0.31135,1.19383,1.37987,1.23454,0.009406,0.009406,0.009406
5,7588.12,1.23926,1.54692,1.28537,0.60458,0.45159,0.49294,0.34226,1.14616,1.27132,1.20204,0.009208,0.009208,0.009208
6,9144.69,1.2185,1.48732,1.26977,0.61155,0.47953,0.51627,0.36455,1.11897,1.20965,1.18553,0.00901,0.00901,0.00901
7,10695.1,1.19934,1.45041,1.25872,0.62692,0.48853,0.53293,0.37764,1.09991,1.17272,1.17264,0.008812,0.008812,0.008812
8,12254.1,1.18952,1.42433,1.25132,0.63644,0.49529,0.5428,0.38704,1.08167,1.14714,1.16144,0.008614,0.008614,0.008614
9,13791.9,1.18088,1.40332,1.24673,0.64472,0.50001,0.55092,0.3936,1.07436,1.1293,1.15765,0.008416,0.008416,0.008416
10,15330.9,1.17068,1.38453,1.23813,0.64611,0.50769,0.55502,0.39755,1.07006,1.11792,1.15347,0.008218,0.008218,0.008218
11,16867.9,1.16569,1.37234,1.23605,0.6475,0.50823,0.55786,0.39989,1.06728,1.11129,1.1515,0.00802,0.00802,0.00802
12,18429.6,1.16164,1.36032,1.23268,0.65178,0.50825,0.56041,0.40292,1.06454,1.10515,1.1499,0.007822,0.007822,0.007822
13,19974.5,1.15623,1.35063,1.22924,0.64741,0.51232,0.56279,0.40495,1.06302,1.10028,1.14903,0.007624,0.007624,0.007624
14,21514.5,1.15381,1.34159,1.22651,0.64921,0.51538,0.56436,0.40595,1.06057,1.09602,1.14711,0.007426,0.007426,0.007426
15,23056.8,1.14788,1.33188,1.2247,0.65532,0.51396,0.56606,0.40771,1.05932,1.09296,1.14616,0.007228,0.007228,0.007228
16,24601.5,1.14357,1.32365,1.22122,0.65256,0.51808,0.56847,0.40973,1.05692,1.08902,1.14417,0.00703,0.00703,0.00703
17,26151.3,1.14063,1.31516,1.21868,0.64524,0.5221,0.56943,0.41081,1.05638,1.08627,1.14367,0.006832,0.006832,0.006832
